Molecule: ./Results/6fnx_p3 
Step: add fragment, Previous ligand: [16*]c1ccccc1, New ligand: CCc1ccccc1, Score: 0.23221594918842625 
Step: remove fragment, Previous ligand: CCc1ccccc1, New ligand: CCc1ccccc1, Score: 0.23221594918842625 
Step: remove fragment, Previous ligand: CCc1ccccc1, New ligand: CCc1ccccc1, Score: 0.23221594918842625 
Step: remove fragment, Previous ligand: CCc1ccccc1, New ligand: [16*]c1ccccc1, Score: 0.10243902439024391 
Step: add fragment, Previous ligand: [16*]c1ccccc1, New ligand: [8*]Cc1ccccc1, Score: 0.16506431956668924 
Step: add fragment, Previous ligand: [8*]Cc1ccccc1, New ligand: c1ccc(Cc2ccccc2)cc1, Score: 0.31137313432835817 
Step: remove fragment, Previous ligand: c1ccc(Cc2ccccc2)cc1, New ligand: c1ccc(Cc2ccccc2)cc1, Score: 0.31137313432835817 
Step: remove fragment, Previous ligand: c1ccc(Cc2ccccc2)cc1, New ligand: c1ccc(Cc2ccccc2)cc1, Score: 0.31137313432835817 
Step: remove fragment, Previous ligand: c1ccc(Cc2ccccc2)cc1, New ligand: [8*]Cc1ccccc1, Score: 0.16506431956668924 
Step: remove fragment, Previous ligand: [8*]Cc1ccccc1, New ligand: [8*]Cc1ccccc1, Score: 0.16506431956668924 
Step: remove fragment, Previous ligand: [8*]Cc1ccccc1, New ligand: [8*]Cc1ccccc1, Score: 0.16506431956668924 
Step: add fragment, Previous ligand: [8*]Cc1ccccc1, New ligand: c1ccc(Cc2ccccc2)cc1, Score: 0.31137313432835817 
Step: remove fragment, Previous ligand: c1ccc(Cc2ccccc2)cc1, New ligand: c1ccc(Cc2ccccc2)cc1, Score: 0.31137313432835817 
Step: remove fragment, Previous ligand: c1ccc(Cc2ccccc2)cc1, New ligand: c1ccc(Cc2ccccc2)cc1, Score: 0.31137313432835817 
Step: remove fragment, Previous ligand: c1ccc(Cc2ccccc2)cc1, New ligand: [16*]c1ccccc1, Score: 0.10243902439024391 
Step: remove fragment, Previous ligand: [16*]c1ccccc1, New ligand: [16*]c1ccccc1, Score: 0.10243902439024391 
Step: remove fragment, Previous ligand: [16*]c1ccccc1, New ligand: [16*]c1ccccc1, Score: 0.10243902439024391 
Step: remove fragment, Previous ligand: [16*]c1ccccc1, New ligand: [16*]c1ccccc1, Score: 0.10243902439024391 
Step: add fragment, Previous ligand: [16*]c1ccccc1, New ligand: CCc1ccccc1, Score: 0.23221594918842625 
Step: remove fragment, Previous ligand: CCc1ccccc1, New ligand: [8*]CC, Score: 0.004999999999999999 
